[2025-04-22 21:41:16,850: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-04-22 21:41:16,850: INFO: main: *******************]
[2025-04-22 21:41:16,850: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2025-04-22 21:41:16,850: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 21:41:16,850: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 21:41:16,850: INFO: common: created directory at: artifacts]
[2025-04-22 21:41:16,850: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-22 21:41:17,475: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-04-22 21:41:17,883: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2025-04-23 01:00:51,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-23 01:00:51,649: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-23 01:00:51,653: INFO: common: created directory at: artifacts]
[2025-04-23 01:00:51,653: INFO: common: created directory at: artifacts\training]
[2025-04-23 01:24:59,185: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-23 01:24:59,189: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-23 01:24:59,195: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-23 01:24:59,197: INFO: common: created directory at: artifacts]
[2025-04-23 01:24:59,198: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-23 01:24:59,198: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-23 01:25:20,358: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-23 01:25:21,232: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-04-23 01:25:21,237: INFO: main: *******************]
[2025-04-23 01:25:21,237: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2025-04-23 01:25:21,237: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-23 01:25:21,237: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-23 01:25:21,237: INFO: common: created directory at: artifacts]
[2025-04-23 01:25:21,244: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-23 01:25:22,117: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-04-23 01:25:22,622: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2025-04-23 01:25:22,622: INFO: main: *******************]
[2025-04-23 01:25:22,622: INFO: main: >>>>>> stage Training started <<<<<<]
[2025-04-23 01:25:22,622: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-23 01:25:22,627: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-23 01:25:22,627: INFO: common: created directory at: artifacts]
[2025-04-23 01:25:22,633: INFO: common: created directory at: artifacts\training]
[2025-04-23 01:27:04,394: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
